field	cost_type	model_name	name	label1	label2	label3 	label	description
salbalhrsts	salaries	salbal	Salaries related to sample, official, provisional and VBM ballots	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to sample, official, provisional and VBM ballots, including ballot layout and design, ballot translation, ballot ordering, sample ballot mailing arrangements, and other. 
salppsurvey	salaries	salpp	Salaries related to polling places (including early voting locations)	Surveying and securing polling places 			Surveying and securing polling places   	Surveying and securing polling places includes contract preparation, arrangements for insurance, arranging access for disabled voters, and other task performed by in-house staff.
salpporder	salaries	salpp	Salaries related to polling places (including early voting locations)	Ordering equipment and polling place supplies			Ordering equipment and polling place supplies  	Ordering equipment and polling place supplies includes preparation of RFP, contracting, and other task performed by in-house staff.
salppve	salaries	salpp	Salaries related to polling places (including early voting locations)	Assigning voting equipment			Assigning voting equipment  	Assigning voting equipment to polling places by in-house staff.
salppdelve	salaries	salpp	Salaries related to polling places (including early voting locations)	Coordinating, scheduling, delivery and pick-up 			Coordinating, scheduling, delivery and pick-up   	Coordinating, scheduling, delivery and pick-up of voting equipment and supplies to and from the polling place by in-house staff.
salpppay	salaries	salpp	Salaries related to polling places (including early voting locations)	Processing payment 			Processing payment   	In-house processing payments for use of polling sites, delivery services and supplies.
salpppubnot	salaries	salpp	Salaries related to polling places (including early voting locations)	Preparation of public notice			Preparation of public notice  	Preparation of any legal notices or press releases regarding polling place locations by in-house staff.
salppoth	salaries	salpp	Salaries related to polling places (including early voting locations)	Other			Other  	Other in-house labor related to polling places, such as consolidation of precincts, map preparation, voting equipment troubleshooting/service/maintenance, packing polling place supplies, rov administration, polling place supervision/coordination, post-election mop-up, etc.
salpptot	salaries	salpp	Salaries related to polling places (including early voting locations)	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpppsrp	salaries	salpp	Salaries related to polling places (including early voting locations)	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpppsop	salaries	salpp	Salaries related to polling places (including early voting locations)	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpptsrp	salaries	salpp	Salaries related to polling places (including early voting locations)	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpptsop	salaries	salpp	Salaries related to polling places (including early voting locations)	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpptotbe	salaries	salpp	Salaries related to polling places (including early voting locations)	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other. 
salpptotbep	salaries	salpp	Salaries related to polling places (including early voting locations)	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salppbeps	salaries	salpp	Salaries related to polling places (including early voting locations)	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other. 
salppbepsp	salaries	salpp	Salaries related to polling places (including early voting locations)	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salppbets	salaries	salpp	Salaries related to polling places (including early voting locations)	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other. 
salppbetsp	salaries	salpp	Salaries related to polling places (including early voting locations)	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpptothrs	salaries	salpp	Salaries related to polling places (including early voting locations)	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpphrsps	salaries	salpp	Salaries related to polling places (including early voting locations)	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpphrsts	salaries	salpp	Salaries related to polling places (including early voting locations)	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to polling places and early voting locations, including surveying and securing polling places, ordering equipment and supplies for polling places, assigning voting equipment, coordinating/scheduling/delivery/pick-up to and from polling places, process polling place related payments, preparation of polling place public notices, and other.
salpwrec	salaries	salpw	Salaries related to poll workers (including early voting locations)	Poll worker recruitment in-house 			Poll worker recruitment in-house   	Includes preparation of recruitment and availability letters and recruitment notices, meetings with large employers/schools/government entities about poll worker recruitment, etc.
salpwdvtrain	salaries	salpw	Salaries related to poll workers (including early voting locations)	Development of poll worker training in-house			Development of poll worker training in-house  	In-house development of training manual and audio-visual aids for poll worker training.
salpwtrain	salaries	salpw	Salaries related to poll workers (including early voting locations)	Poll worker training in-house			Poll worker training in-house  	Scheduling and conducting poll worker training by in-house staff.
salpwpay	salaries	salpw	Salaries related to poll workers (including early voting locations)	Poll worker payroll processing in-house			Poll worker payroll processing in-house  	Processing poll worker payroll by in-house staff.
salpwoth	salaries	salpw	Salaries related to poll workers (including early voting locations)	Other 			Other   	Other in-house labor related to poll workers, such as: poll worker assignment and coordination, poll worker manual update, arranging for training facilities/equipment/supplies, poll worker evaluation, etc.
salpwtot	salaries	salpw	Salaries related to poll workers (including early voting locations)	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.
salpwpsrp	salaries	salpw	Salaries related to poll workers (including early voting locations)	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.
salpwpsop	salaries	salpw	Salaries related to poll workers (including early voting locations)	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.
salpwtsrp	salaries	salpw	Salaries related to poll workers (including early voting locations)	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.
salpwrtsop	salaries	salpw	Salaries related to poll workers (including early voting locations)	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.
salpwtotbe	salaries	salpw	Salaries related to poll workers (including early voting locations)	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  
salpwtotbep	salaries	salpw	Salaries related to poll workers (including early voting locations)	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  
salpwbeps	salaries	salpw	Salaries related to poll workers (including early voting locations)	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  
salpwbepsp	salaries	salpw	Salaries related to poll workers (including early voting locations)	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  
salpwbets	salaries	salpw	Salaries related to poll workers (including early voting locations)	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  
salpwbetsp	salaries	salpw	Salaries related to poll workers (including early voting locations)	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  
salpwtothrs	salaries	salpw	Salaries related to poll workers (including early voting locations)	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.
salpwhrsps	salaries	salpw	Salaries related to poll workers (including early voting locations)	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.
salpwhrsts	salaries	salpw	Salaries related to poll workers (including early voting locations)	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.
salvbmoutr	salaries	salvbm	Salaries related to VBM	Outreach activities			Outreach activities  	Outreach activities related to VBM and performed by in-house staff.
salvbmappro	salaries	salvbm	Salaries related to VBM	VBM application processing			VBM application processing  	In-house data entry of VBM applications, including permanent VBM. 
salvbmuoapp	salaries	salvbm	Salaries related to VBM	Military/oversees application processing			Military/oversees application processing  	Data entry of military/oversees applications and updates performed by in-house staff.
salvbmusps	salaries	salvbm	Salaries related to VBM	Coordination with USPS 			Coordination with USPS   	Coordinating with USPS by in-house staff includes: meetings with postal authority, deposits of funds to postal accounts, tracing ballots, etc.
salvbmproces	salaries	salvbm	Salaries related to VBM	Processing VBM ballots			Processing VBM ballots  	Processing VBM ballots by in-house staff includes: VBM packets preparation, returned ballots processing, signature check, tally prep, ballot error activities, etc.
salvbmoth	salaries	salvbm	Salaries related to VBM	Other 			Other   	Other in-house labor related to VBM, such as: designing and printing forms, ballot on demand activities, data entry of returned VBM ballots, quality control, arrangements with other mail processing services, phone assistance, SB90 claim compilation, etc. 
salvbmtot	salaries	salvbm	Salaries related to VBM	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.
salvbmpsrp	salaries	salvbm	Salaries related to VBM	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.
salvbmpsop	salaries	salvbm	Salaries related to VBM	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.
salvbmtsrp	salaries	salvbm	Salaries related to VBM	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.
salvbmtsop	salaries	salvbm	Salaries related to VBM	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.
salvbmtotbe	salaries	salvbm	Salaries related to VBM	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.  
salvbmtotbep	salaries	salvbm	Salaries related to VBM	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other. 
salvbmbeps	salaries	salvbm	Salaries related to VBM	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.  
salvbmbepsp	salaries	salvbm	Salaries related to VBM	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other. 
salvbmbets	salaries	salvbm	Salaries related to VBM	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.  
salvbmbetsp	salaries	salvbm	Salaries related to VBM	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other. 
salvbmtothrs	salaries	salvbm	Salaries related to VBM	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.
salvbmhrsps	salaries	salvbm	Salaries related to VBM	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.
salvbmhrsts	salaries	salvbm	Salaries related to VBM	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.
salbcinh	salaries	salbc	Salaries related to ballot counting	Counting ballots in-house			Counting ballots in-house  	Costs to count ballots by in-house staff.
salbcamor	salaries	salbc	Salaries related to ballot counting	Automatic, manual, other recounts			Automatic, manual, other recounts  	Costs to perform automatic, manual, and other recounts by in-house staff.
salbcchca	salaries	salbc	Salaries related to ballot counting	Canvass\/1\% Hand Count/Audit			Canvass\/1\% Hand Count/Audit  	Costs to perform post-election canvass/1% hand count and post-canvas audit by in-house staff.
salbcsec	salaries	salbc	Salaries related to ballot counting	Security			Security  	Costs for in-house security.
sabcoth	salaries	salbc	Salaries related to ballot counting	Other 			Other   	Logic and other testing, arrangements for additional help/vendor support/facilities, purchasing necessary supplies, and other tasks related to ballot counting and performed by in-house staff.
salbctot	salaries	salbc	Salaries related to ballot counting	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.
salbcpsrp	salaries	salbc	Salaries related to ballot counting	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.
salbcpsop	salaries	salbc	Salaries related to ballot counting	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.
salbctsrp	salaries	salbc	Salaries related to ballot counting	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.
salbctsop	salaries	salbc	Salaries related to ballot counting	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.
salbctotbe	salaries	salbc	Salaries related to ballot counting	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.  
salbctotbep	salaries	salbc	Salaries related to ballot counting	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other. 
salbcbeps	salaries	salbc	Salaries related to ballot counting	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.  
salbcbepsp	salaries	salbc	Salaries related to ballot counting	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other. 
salbcbets	salaries	salbc	Salaries related to ballot counting	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.  
salbcbetsp	salaries	salbc	Salaries related to ballot counting	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other. 
salbctothrs	salaries	salbc	Salaries related to ballot counting	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.
salbchrsps	salaries	salbc	Salaries related to ballot counting	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.
salbchrsts	salaries	salbc	Salaries related to ballot counting	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.
salcanprep	salaries	salcan	Salaries related to candidates	Preparation of candidate guide and forms			Preparation of candidate guide and forms  	Preparation of candidate guide and forms by in-house staff.
salcanproc	salaries	salcan	Salaries related to candidates	Processing candidates			Processing candidates  	Processing candidates by In-house staff, including processing candidate filings, preparation/proof of candidate statements, issuing/receiving candidate nomination papers and verifying signatures, processing campaign disclosure statements, etc.
slacanoth	salaries	salcan	Salaries related to candidates	Other 			Other   	Other in-house labor related to candidates, including preparation and training for candidate filing, preparation of candidate related legal notices, etc.
salcantot	salaries	salcan	Salaries related to candidates	Total salaries			Total salaries  	Total salaries for in-house staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanpsrp	salaries	salcan	Salaries related to candidates	Salaries	Permanent staff - regular pay		Salaries Permanent staff - regular pay 	Permanent staff regular pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanpsop	salaries	salcan	Salaries related to candidates	Salaries	Permanent staff - overtime pay		Salaries Permanent staff - overtime pay 	Permanent staff overtime pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcantsrp	salaries	salcan	Salaries related to candidates	Salaries	Temporary staff - regular pay		Salaries Temporary staff - regular pay 	Temporary staff regular pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcantsop	salaries	salcan	Salaries related to candidates	Salaries	Temporary staff - overtime pay		Salaries Temporary staff - overtime pay 	Temporary staff overtime pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanbe	salaries	salcan	Salaries related to candidates	Total benefits - in dollars			Total benefits - in dollars  	Total benefits in dollars for in-house staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbep	salaries	salcan	Salaries related to candidates	Total benefits - in percent			Total benefits - in percent  	Total benefits in percent for in-house staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbeps	salaries	salcan	Salaries related to candidates	Benefits	Permanent staff - in dollars		Benefits Permanent staff - in dollars 	Total benefits in dollars for permanent staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbepsp	salaries	salcan	Salaries related to candidates	Benefits	Permanent staff - in percent		Benefits Permanent staff - in percent 	Total benefits in percent for permanent staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbets	salaries	salcan	Salaries related to candidates	Benefits	Temporary staff  - in dollars		Benefits Temporary staff  - in dollars 	Total benefits in dollars for temporary staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcanbetsp	salaries	salcan	Salaries related to candidates	Benefits	Temporary staff - in percent		Benefits Temporary staff - in percent 	Total benefits in percent for temporary staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 
salcantothrs	salaries	salcan	Salaries related to candidates	Total hours worked			Total hours worked  	Total hours worked by in-house staff on tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanhrsps	salaries	salcan	Salaries related to candidates	Hours worked	Permanent staff		Hours worked Permanent staff 	Hours worked by permanent staff on tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
salcanhrsts	salaries	salcan	Salaries related to candidates	Hours worked	Temporary staff		Hours worked Temporary staff 	Hours worked by temporary staff on tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.
